dataset,duration_minutes,lowest,low,mid,high,highest
bcr23_2025_2016_19_full,1,0.6379533167680271,3.0107497057636348,3.89506251996835,4.892400570296027,15.750407177155227
bcr23_2025_2016_19_full,2,0.7295826493601245,3.441048117926443,4.440640121568908,5.579554083759857,17.79188204989615
bcr23_2025_2016_19_full,3,0.805358578107568,3.8041283357442985,4.893815871470867,6.14690660013689,19.44131946972281
bcr23_2025_2016_19_full,4,0.8728659773188093,4.12601412120785,5.297983490016225,6.65065516293147,20.88151486798888
bcr23_2025_2016_19_full,5,0.9350206265882823,4.423141690017894,5.6770646178669875,7.1205245492840765,22.183295821917234
bcr23_2025_2016_19_full,6,0.993305939296408,4.705343163854218,6.038267271466696,7.563692603617715,23.38300386423948
bcr23_2025_2016_19_full,7,1.04859561731732,4.975412251310633,6.369140475568495,7.9667661743214175,24.502244982188206
bcr23_2025_2016_19_full,8,1.1014538056834091,5.232736912915648,6.687223374769954,8.363325705905892,25.55511540163161
bcr23_2025_2016_19_full,9,1.1522686839479688,5.4783797219782535,6.995476081107107,8.747884792096308,26.551426092175987
bcr23_2025_2016_19_full,10,1.2013201469119459,5.71870338708735,7.286451381077908,9.113488205132256,27.49834062662684
bcr23_2025_2016_19_full,11,1.2488174044429918,5.941549588687477,7.571637422090426,9.469153078279774,28.401287430262347
bcr23_2025_2016_19_full,12,1.2949213697566895,6.169501880070626,7.848516466927679,9.80894182765285,29.264504355491223
bcr23_2025_2016_19_full,13,1.3397587328987468,6.385918937880506,8.122548172343791,10.139343556021721,30.091381877615785
bcr23_2025_2016_19_full,14,1.383431201973712,6.595333863187888,8.388032634375765,10.457793025161282,30.884689022744823
bcr23_2025_2016_19_full,15,1.4260217931218615,6.79265893279179,8.641321182643717,10.785736806560426,31.646727532987097
bcr23_2025_2016_19_full,16,1.4675992424557085,6.998439263309544,8.890121912414877,11.100241058784679,32.37944027464033
bcr23_2025_2016_19_full,17,1.5082211808287025,7.189593735193197,9.14934744307521,11.40057872262511,33.084489444218264
bcr23_2025_2016_19_full,18,1.54793646916903,7.382906906277395,9.403473367339986,11.695185456517754,33.7633142416026
bcr23_2025_2016_19_full,19,1.5867869495062237,7.581621354300768,9.641763506377885,11.99192552866397,34.41717422285007
bcr23_2025_2016_19_full,20,1.624808780100481,7.769419731088442,9.880858822742855,12.267111091294327,35.04718244022842
