dataset,lowest,low,mid,high,highest,mean
bcr23_2025_2016_19_full,2.0790447552603872,13.199120976737957,16.66516403858427,20.433280984268716,46.96939077357249,16.936614322558402
bcr23_2025_2016_19_new,3.009641730194875,11.824597144577366,15.434835981879337,19.236469874265378,43.039258183497424,15.818824834207827
bcr23_2025_2022_24_full,2.85250000534711,14.342985183372226,18.101828304436502,21.858580558361044,69.98729425633645,18.273563634612472
bcr23_2025_2022_24_new,2.9866594644436866,13.634376317661694,17.67730338684804,21.99488681124694,46.759924362548304,18.06501930945803
