species,Mean_top,Mean_bottom,SE_top,SE_bottom,diff,ratio,SE_ratio,SE_diff,diff_new,common_name
Pooecetes gramineus,0.0229543446529105,0.0030798381173619952,1.3375112115790656e-4,2.7364592067214128e-5,0.019874506535548505,0.1341723392208231,0.0014256183952570858,1.3652173200630747e-4,0.8658276607791768,Vesper Sparrow
Porzana carolina,0.030607904759981645,0.009650938373520466,7.747757592858524e-5,5.876959752875152e-5,0.02095696638646118,0.3153086906536184,0.0020793578412794237,9.724525883281471e-5,0.6846913093463816,Sora
Progne subis,0.03556309398464015,0.008917460558810533,1.2317305602220328e-4,6.0278970257292934e-5,0.026645633425829617,0.2507504145354176,0.0019045289275281402,1.3713189266224116e-4,0.7492495854645824,Purple Martin
Quiscalus quiscula,0.39069212531880637,0.1801514400245483,4.984080556585168e-4,6.870136155177551e-4,0.21054068529425807,0.4611084492106003,0.0018542331068944864,8.487628042345406e-4,0.5388915507893997,Common Grackle
Regulus satrapa,0.03840413327356031,0.011163935535231845,9.550877284419449e-5,5.488377814266702e-5,0.02724019773832847,0.2906961981333858,0.001601563896186853,1.1015513965956122e-4,0.7093038018666142,Golden-crowned Kinglet
Riparia riparia,0.03769963634726117,0.009393375490390788,1.0649569745795726e-4,6.511501822078152e-5,0.028306260856870387,0.24916355701328147,0.0018651117901615254,1.2482507430380113e-4,0.7508364429867185,Bank Swallow
Sayornis phoebe,0.15056871135061692,0.05653484156422261,2.954329798516964e-4,1.8497058541763533e-4,0.0940338697863943,0.3754753630890457,0.0014324547020651821,3.4856098900163166e-4,0.6245246369109543,Eastern Phoebe
Seiurus aurocapilla,0.06421824727317782,0.012055486193768025,2.231558770463232e-4,8.602372065834711e-5,0.05216276107940979,0.18772680204872652,0.0014899506325022906,2.391623423037562e-4,0.8122731979512735,Ovenbird
Setophaga americana,0.02316237950265991,0.0030979709600480305,6.381602438126551e-5,2.496677410279408e-5,0.02006440854261188,0.13375011663599878,0.0011391518345814828,6.852608829438773e-5,0.8662498833640012,Northern Parula
Setophaga coronata,0.10843007828914934,0.05568708760384383,2.2176229474513465e-4,1.8450069105942468e-4,0.05274299068530551,0.5135760158297006,0.0019996495132797577,2.884770707907879e-4,0.4864239841702994,Yellow-rumped Warbler
Setophaga fusca,0.020820764507900998,0.004903680776429548,5.6014487331883374e-5,2.8652201990538736e-5,0.01591708373147145,0.2355187665932591,0.0015150000007521807,6.291717945013393e-5,0.7644812334067409,Blackburnian Warbler
Setophaga magnolia,0.029373332956747735,0.009216834946967943,7.373056021294221e-5,4.296574411504271e-5,0.02015649800977979,0.31378240121881107,0.0016613219360707742,8.533610418031529e-5,0.6862175987811889,Magnolia Warbler
Setophaga palmarum,0.050275778383754355,0.021695165031224217,1.3005804408085676e-4,8.490402792269305e-5,0.028580613352530138,0.4315232051829274,0.00202436802999369,1.5531834659059283e-4,0.5684767948170726,Palm Warbler
Setophaga pensylvanica,0.042133169908151975,0.011024666508274088,1.2581373017912136e-4,5.306481685393044e-5,0.031108503399877887,0.26166240357199005,0.0014821379011516337,1.3654658358716243e-4,0.7383375964280099,Chestnut-sided Warbler
Setophaga petechia,0.22526552521156584,0.06726993464952612,2.604692846575943e-4,2.1931139501182544e-4,0.1579955905620397,0.29862507627985796,0.0010329873304567455,3.4050218241895577e-4,0.7013749237201421,Yellow Warbler
Setophaga pinus,0.024658021527910343,0.004198087241931469,9.84240237080079e-5,3.24842498893193e-5,0.02045993428597887,0.1702523958452898,0.0014823420336967253,1.0364610428639487e-4,0.8297476041547102,Pine Warbler
Setophaga ruticilla,0.11184143872887033,0.03663347581745139,2.6696898127907283e-4,1.3905408530764945e-4,0.07520796291141893,0.32754832407207723,0.0014687234537853458,3.010124176939101e-4,0.6724516759279228,American Redstart
Setophaga striata,0.017519790358997697,0.004076098204285943,4.6631555266004286e-5,2.4985132848479347e-5,0.013443692154711754,0.23265679102105055,0.001554753694645264,5.2903296778013506e-5,0.7673432089789495,Blackpoll Warbler
