observer_id,duration_minutes,fit
obsr1009310,1,1.403216047950688
obsr1009310,2,1.4953533432619854
obsr1009310,3,1.564040071899511
obsr1009310,4,1.620587893989799
obsr1009310,5,1.6693782858494572
obsr1009310,6,1.71265833528223
obsr1009310,7,1.7517629155155565
obsr1009310,8,1.7875617703031779
obsr1009310,9,1.820659025719694
obsr1009310,10,1.8514945422828064
obsr1009310,11,1.8804003791535093
obsr1009310,12,1.9076345132690131
obsr1009310,13,1.9334021001447834
obsr1009310,14,1.9578694790840927
obsr1009310,15,1.9811737375227103
obsr1009310,16,2.0034294431403734
obsr1009310,17,2.024733505972079
obsr1009310,18,2.045168768725939
obsr1009310,19,2.0648067097075877
obsr1009310,20,2.083709512550474
obsr1009310,21,2.1019316751302886
obsr1009310,22,2.1195212771829683
obsr1009310,23,2.1365209911513734
obsr1009310,24,2.1529688971068026
obsr1009310,25,2.1688991462518366
obsr1009310,26,2.1843425060343464
obsr1009310,27,2.1993268117108675
obsr1009310,28,2.2138773432642407
obsr1009310,29,2.2280171422248274
obsr1009310,30,2.241767279707383
obsr1009310,31,2.255147084542185
obsr1009310,32,2.268174338530268
obsr1009310,33,2.280865444434312
obsr1009310,34,2.293235571218715
obsr1009310,35,2.3052987801950113
obsr1009310,36,2.317068135054084
obsr1009310,37,2.3285557982315632
obsr1009310,38,2.3397731156256154
obsr1009310,39,2.3507306913429376
obsr1009310,40,2.361438453871092
obsr1009310,41,2.3719057148493503
obsr1009310,42,2.3821412214254347
obsr1009310,43,2.392153203033521
obsr1009310,44,2.4019494133032815
obsr1009310,45,2.4115371677054096
obsr1009310,46,2.4209233774520658
obsr1009310,47,2.430114580097786
obsr1009310,48,2.439116967225073
obsr1009310,49,2.4479364095471148
obsr1009310,50,2.456578479716164
obsr1009310,51,2.4650484730888
obsr1009310,52,2.473351426667398
obsr1009310,53,2.4814921364098423
obsr1009310,54,2.48947517307608
obsr1009310,55,2.497304896759891
obsr1009310,56,2.5049854702367997
obsr1009310,57,2.512520871243908
obsr1009310,58,2.5199149037942927
obsr1009310,59,2.527171208617143
obsr1009310,60,2.534293272804818
obsr1009310,61,2.541284438739233
obsr1009310,62,2.548147912362302
obsr1009310,63,2.554886770848412
obsr1009310,64,2.5615039697309294
obsr1009310,65,2.568002349529488
obsr1009310,66,2.5743846419201453
obsr1009310,67,2.580653475486366
obsr1009310,68,2.586811381085124
obsr1009310,69,2.592860796859135
obsr1009310,70,2.598804072923344
obsr1009310,71,2.6046434757511587
obsr1009310,72,2.6103811922836275
obsr1009310,73,2.616019333782642
obsr1009310,74,2.6215599394473954
obsr1009310,75,2.627004979811631
obsr1009310,76,2.632356359937709
obsr1009310,77,2.6376159224221514
obsr1009310,78,2.642785450226078
obsr1009310,79,2.647866669342857
obsr1009310,80,2.652861251314265
obsr1009310,81,2.6577708156055277
obsr1009310,82,2.6625969318488196
obsr1009310,83,2.6673411219639944
obsr1009310,84,2.672004862164679
obsr1009310,85,2.6765895848572
obsr1009310,86,2.6810966804392664
obsr1009310,87,2.685527499004799
obsr1009310,88,2.689883351960822
obsr1009310,89,2.694165513561903
obsr1009310,90,2.6983752223672157
obsr1009310,91,2.7025136826249443
obsr1009310,92,2.7065820655884165
obsr1009310,93,2.710581510768022
obsr1009310,94,2.714513127122715
obsr1009310,95,2.7183779941946256
obsr1009310,96,2.7221771631900595
obsr1009310,97,2.725911658009956
obsr1009310,98,2.7295824762326597
obsr1009310,99,2.733190590051677
obsr1009310,100,2.7367369471709106
obsr1009310,101,2.7402224716597083
obsr1009310,102,2.743648064769905
obsr1009310,103,2.7470146057169034
obsr1009310,104,2.7503229524267145
obsr1009310,105,2.753573942250745
obsr1009310,106,2.7567683926500233
obsr1009310,107,2.7599071018504495
obsr1009310,108,2.76299084947054
obsr1009310,109,2.7660203971230857
obsr1009310,110,2.768996488992021
obsr1031371,1,1.8306820576957823
obsr1031371,2,1.9229736325050724
obsr1031371,3,1.9918146406405908
obsr1031371,4,2.0485167422288715
obsr1031371,5,2.0974614135865224
obsr1031371,6,2.1408957425172876
obsr1031371,7,2.1801546022486074
obsr1031371,8,2.216107736534221
obsr1031371,9,2.24935927144873
obsr1031371,10,2.2803490675098352
obsr1031371,11,2.3094091838785307
obsr1031371,12,2.3367975974920276
obsr1031371,13,2.3627194638657905
obsr1031371,14,2.3873411223030923
obsr1031371,15,2.410799660239703
obsr1031371,16,2.4332096453553587
obsr1031371,17,2.454667987685057
obsr1031371,18,2.4752575299369095
obsr1031371,19,2.495049750416551
obsr1031371,20,2.51410683275743
obsr1031371,21,2.5324832748352373
obsr1031371,22,2.5502271563859096
obsr1031371,23,2.567381149852308
obsr1031371,24,2.5839833353057298
obsr1031371,25,2.6000678639487567
obsr1031371,26,2.615665503229259
obsr1031371,27,2.6308040884037727
obsr1031371,28,2.645508899455139
obsr1031371,29,2.659802977913718
obsr1031371,30,2.6737073948942665
obsr1031371,31,2.687241479227061
obsr1031371,32,2.7004230127131366
obsr1031371,33,2.713268398115174
obsr1031371,34,2.7257928043975697
obsr1031371,35,2.7380102928718584
obsr1031371,36,2.749933927228924
obsr1031371,37,2.7615758699043957
obsr1031371,38,2.772947466796441
obsr1031371,39,2.7840593220117555
obsr1031371,40,2.7949213640379025
obsr1031371,41,2.805542904514154
obsr1031371,42,2.815932690588231
obsr1031371,43,2.8260989516943105
obsr1031371,44,2.8360494414620634
obsr1031371,45,2.845791475362184
obsr1031371,46,2.855331964606833
obsr1031371,47,2.864677446750546
obsr1031371,48,2.8738341133758256
obsr1031371,49,2.88280783519586
obsr1031371,50,2.891604184862902
obsr1031371,51,2.9002284577335313
obsr1031371,52,2.9086856908101217
obsr1031371,53,2.9169806800505587
obsr1031371,54,2.925117996214789
obsr1031371,55,2.9331019993965928
obsr1031371,56,2.9409368523714945
obsr1031371,57,2.9486265328765953
obsr1031371,58,2.9561748449249725
obsr1031371,59,2.963585429245816
obsr1031371,60,2.970861772931484
obsr1031371,61,2.9780072183638913
obsr1031371,62,2.985024971484953
obsr1031371,63,2.9919181094690557
obsr1031371,64,2.998689587849566
obsr1031371,65,3.005342247146117
obsr1031371,66,3.011878819034767
obsr1031371,67,3.018301932098981
obsr1031371,68,3.024614117195731
obsr1031371,69,3.0308178124677356
obsr1031371,70,3.0369153680299372
obsr1031371,71,3.0429090503557443
obsr1031371,72,3.048801046386206
