species,top,bottom,diff,ratio,diff_new,common_name
Agelaius phoeniceus,0.6662038577055281,0.3920571944086063,0.27414666329692183,1.699251709206497,0.6992517092064969,Red-winged Blackbird
Aix sponsa,0.18337358807109902,0.08289115019352586,0.10048243787757316,2.21222154166008,1.21222154166008,Wood Duck
Anas platyrhynchos,0.40900259847947973,0.22876793388109073,0.180234664598389,1.7878493350911302,0.7878493350911302,Mallard
Antigone canadensis,0.23411384136258673,0.08660645862232871,0.14750738274025801,2.7031914834839803,1.7031914834839803,Sandhill Crane
Ardea alba,0.06657217650376755,0.04010204972498957,0.026470126778777983,1.6600691725311771,0.6600691725311771,Great Egret
Ardea herodias,0.17487911526353594,0.088662973992841,0.08621614127069495,1.9724029929072353,0.9724029929072353,Great Blue Heron
Astur cooperii,0.043619744587304575,0.01688864745312212,0.026731097134182456,2.5827849570772354,1.5827849570772354,Cooper's Hawk
Branta canadensis,0.46154105742205764,0.25192313288775503,0.2096179245343026,1.8320709659787313,0.8320709659787313,Canada Goose
Buteo jamaicensis,0.12497288228743329,0.04790128726221541,0.07707159502521788,2.6089670952540778,1.6089670952540778,Red-tailed Hawk
Cardinalis cardinalis,0.613718428956414,0.48085597602025476,0.13286245293615928,1.2763040485339894,0.2763040485339894,Northern Cardinal
Certhia americana,0.035159018266491184,0.014812730994208776,0.02034628727228241,2.3735675939998537,1.3735675939998537,Brown Creeper
Circus hudsonius,0.021988246580757754,0.007702232095220542,0.01428601448553721,2.8547888857312023,1.8547888857312023,Northern Harrier
Colaptes auratus,0.26572465759368263,0.1018169119287592,0.16390774566492344,2.6098282943368867,1.6098282943368867,Northern Flicker
Columba livia,0.07390480598180582,0.028286786888744458,0.04561801909306136,2.612697096792324,1.6126970967923242,Rock Pigeon
Corthylio calendula,0.0720583910639303,0.030624618041072103,0.0414337730228582,2.3529564015227695,1.3529564015227695,Ruby-crowned Kinglet
Corvus brachyrhynchos,0.4918791490100227,0.277125146720731,0.2147540022892917,1.7749350964014357,0.7749350964014357,American Crow
Cyanocitta cristata,0.4821023097059717,0.34773540795638636,0.13436690174958532,1.3864055792858399,0.38640557928583985,Blue Jay
Cygnus buccinator,0.05263969840282699,0.0329139464723971,0.019725751930429893,1.5993128762900757,0.5993128762900757,Trumpeter Swan
Dryobates pubescens,0.4005081256719167,0.27767807774016123,0.12283004793175545,1.442346939777847,0.442346939777847,Downy Woodpecker
Dryobates villosus,0.18328681139088557,0.11213829095812275,0.07114852043276282,1.6344712392605727,0.6344712392605727,Hairy Woodpecker
Dryocopus pileatus,0.08207627670190765,0.044971722913655456,0.03710455378825219,1.825064093263493,0.825064093263493,Pileated Woodpecker
Dumetella carolinensis,0.27774322780324834,0.13740820860050248,0.14033501920274585,2.021300114687855,1.0213001146878549,Gray Catbird
Falco sparverius,0.03267624102705022,0.010069164880149776,0.02260707614690044,3.2451788619995434,2.2451788619995434,American Kestrel
Haemorhous mexicanus,0.31223695818810293,0.2439783871875212,0.06825857100058172,1.2797730232888143,0.27977302328881426,House Finch
Haliaeetus leucocephalus,0.10370777470845446,0.05833907282198531,0.04536870188646915,1.7776726590240182,0.7776726590240182,Bald Eagle
Hirundo rustica,0.24710623876121468,0.08316276543114069,0.16394347333007397,2.9713566820456476,1.9713566820456476,Barn Swallow
Icterus galbula,0.21717792594092436,0.11790041421323737,0.09927751172768699,1.84204548720356,0.8420454872035601,Baltimore Oriole
Junco hyemalis,0.12975524155253124,0.11720197503079922,0.012553266521732012,1.1071079776465642,0.10710797764656421,Dark-eyed Junco
Leiothlypis peregrina,0.06241171678019949,0.018343729083201567,0.04406798769699792,3.402346191285259,2.402346191285259,Tennessee Warbler
Lophodytes cucullatus,0.061577696464814466,0.030032884844839795,0.031544811619974675,2.050342375797264,1.050342375797264,Hooded Merganser
Megaceryle alcyon,0.09021400093525977,0.03376759436204371,0.05644640657321606,2.671614683830257,1.6716146838302568,Belted Kingfisher
Melanerpes carolinus,0.3797926037342898,0.22497502109868364,0.15481758263560616,1.6881545421333535,0.6881545421333535,Red-bellied Woodpecker
Meleagris gallopavo,0.08404803571342484,0.04591267570110683,0.03813536001231801,1.830606350642262,0.8306063506422621,Wild Turkey
Melospiza melodia,0.5364341533729613,0.2007818638625627,0.3356522895103986,2.6717261362816918,1.6717261362816918,Song Sparrow
Molothrus ater,0.3056178258584865,0.13977514138543173,0.16584268447305478,2.1864962741532237,1.1864962741532237,Brown-headed Cowbird
Myiarchus crinitus,0.14026486171171823,0.04951157759950333,0.0907532841122149,2.832970963807974,1.8329709638079739,Great Crested Flycatcher
Passer domesticus,0.33086501887392794,0.28072404861912753,0.05014097025480041,1.178613020514068,0.1786130205140679,House Sparrow
Pelecanus erythrorhynchos,0.05282771454328951,0.024028247984711943,0.028799466558577565,2.1985670606072207,1.1985670606072207,American White Pelican
Phasianus colchicus,0.027286445000457987,0.008390970733458148,0.01889547426699984,3.2518817985690314,2.2518817985690314,Ring-necked Pheasant
Poecile atricapillus,0.4906594545603556,0.3875367408111595,0.10312271374919607,1.2660979021843148,0.26609790218431484,Black-capped Chickadee
Quiscalus quiscula,0.39067825617440183,0.20914373296341926,0.18153452321098257,1.8679893040004898,0.8679893040004898,Common Grackle
Sayornis phoebe,0.11081864155928052,0.039229000746941904,0.07158964081233862,2.824916246889602,1.824916246889602,Eastern Phoebe
Setophaga coronata,0.11452111324838861,0.06124923608214421,0.0532718771662444,1.8697557810320933,0.8697557810320933,Yellow-rumped Warbler
Setophaga palmarum,0.04579398251931986,0.018993665544637054,0.026800316974682808,2.411013419800371,1.411013419800371,Palm Warbler
Setophaga petechia,0.22881564294288648,0.07824458952147216,0.1505710534214143,2.9243637718885864,1.9243637718885864,Yellow Warbler
Setophaga ruticilla,0.12499698692082592,0.04648500780893808,0.07851197911188784,2.6889742050724506,1.6889742050724506,American Redstart
Sialia sialis,0.1512469326854008,0.06133654097994898,0.08991039170545181,2.4658536374727045,1.4658536374727045,Eastern Bluebird
Sitta carolinensis,0.3482589223300503,0.2366835779487229,0.11157534438132738,1.4714114318717118,0.47141143187171175,White-breasted Nuthatch
Spatula clypeata,0.0619151613323113,0.02125389234336046,0.04066126898895084,2.9131210571720563,1.9131210571720563,Northern Shoveler
Spatula discors,0.09806729049457887,0.03779332020526351,0.06027397028931535,2.5948313078066354,1.5948313078066354,Blue-winged Teal
Spinus tristis,0.5071325610208794,0.33910192361791497,0.16803063740296448,1.4955166152118144,0.49551661521181445,American Goldfinch
Sturnus vulgaris,0.32395181001692147,0.15374392503419443,0.17020788498272704,2.107086897546494,1.1070868975464938,European Starling
Tachycineta bicolor,0.25573087658909793,0.09449300105735932,0.16123787553173863,2.706347282100435,1.706347282100435,Tree Swallow
Turdus migratorius,0.7137381947557959,0.5287572632824702,0.18498093147332573,1.3498409276214633,0.34984092762146335,American Robin
Zenaida macroura,0.5094899941666787,0.32143723262875046,0.18805276153792827,1.5850372715071346,0.5850372715071346,Mourning Dove
Spizelloides arborea,0.05638073750536328,0.022835081048046796,0.03354565645731648,2.469040393889288,1.469040393889288,American Tree Sparrow
Strix varia,0.01730230584923034,0.008226061482049143,0.009076244367181196,2.103352362122179,1.103352362122179,Barred Owl
Baeolophus bicolor,0.21260286652300306,0.0918059503138126,0.12079691620919046,2.315785260065175,1.3157852600651752,Tufted Titmouse
Bombycilla cedrorum,0.17823448023179014,0.05940613268404357,0.11882834754774657,3.00027071581557,2.00027071581557,Cedar Waxwing
Spizella pusilla,0.10898668942144059,0.029237440220396364,0.07974924920104423,3.727641291435981,2.727641291435981,Field Sparrow
Larus delawarensis,0.185215182062296,0.060744807783716666,0.12447037427857935,3.049070180973476,2.049070180973476,Ring-billed Gull
Larus smithsonianus,0.07164379136957706,0.017936306226779324,0.05370748514279774,3.9943447922745214,2.9943447922745214,American Herring Gull
Sitta canadensis,0.040852532673830565,0.025075906758369144,0.01577662591546142,1.6291547527068362,0.6291547527068362,Red-breasted Nuthatch
Thryothorus ludovicianus,0.0687030260956761,0.019226478605449765,0.04947654749022634,3.5733546171165305,2.5733546171165305,Carolina Wren
Bucephala clangula,0.0302754195411442,0.01081610678359056,0.01945931275755364,2.7991050890026297,1.7991050890026297,Common Goldeneye
Charadrius vociferus,0.26537755087282877,0.07588735728074344,0.18949019359208533,3.4969929166339386,2.4969929166339386,Killdeer
Mergus serrator,0.03282568975408453,0.012601006916488015,0.020224682837596514,2.605005296134959,1.605005296134959,Red-breasted Merganser
Mergus merganser,0.045302247998110196,0.018605643776615867,0.02669660422149433,2.434865922513653,1.4348659225136529,Common Merganser
Zonotrichia albicollis,0.09203631121974266,0.04608728549671637,0.045949025723026296,1.9970000451925092,0.9970000451925092,White-throated Sparrow
Spinus pinus,0.020922821784803473,0.013444954261934094,0.007477867522869379,1.5561839316955524,0.5561839316955524,Pine Siskin
Bucephala albeola,0.08412517054028125,0.033689990008439474,0.050435180531841775,2.4970375627659007,1.4970375627659007,Bufflehead
Cygnus olor,0.04626643333381543,0.023902140910105056,0.022364292423710373,1.935660638426555,0.9356606384265549,Mute Swan
