observer_id,fit,se,batch
obsr1000563,3.027873438424152,0.029168305040669175,1
obsr1000873,3.0832579002202354,0.027203031697083206,1
obsr1000926,2.8591936388588817,0.07619479715267785,1
obsr1000930,2.586246968596962,0.037300932593666826,1
obsr100116,2.83654630726227,0.08963066813346232,1
obsr1001723,3.0060392780199012,0.061849285874843916,1
obsr1002334,3.241277883065492,0.04993627231478518,1
obsr1002600,3.1228660403227253,0.05721436486501971,1
obsr1003018,1.7785127466863038,0.08899568619130553,1
obsr1003045,2.594514809061985,0.04062086821716414,1
obsr1003213,3.1189982211456373,0.03950418525190113,1
obsr1003415,2.9485458380611687,0.054721235786659474,1
obsr1003621,2.977355436352802,0.03311229281932058,1
obsr1003745,3.0953955752335633,0.045782075420782505,1
obsr100435,3.112488032428429,0.03753600529088558,1
obsr100451,2.8892021058400785,0.08098893373071815,1
obsr1004758,2.972928078193004,0.06165589264135952,1
obsr1005638,3.152526308402938,0.06496859791295684,1
obsr1006068,2.8564155765652863,0.02472855904899782,1
obsr1006101,2.8979269641795264,0.22514489535238696,1
obsr100639,2.6980192477451315,0.026096304697688553,1
obsr1006842,2.598248700858402,0.04954062538894361,1
obsr1007647,2.7851292243713206,0.04603417524588415,1
obsr1008316,2.837431064718479,0.11117083793264804,1
obsr1008678,2.9278731706581773,0.017380375326113005,1
obsr100913,2.8576635267148816,0.016210312557158643,1
obsr1009310,2.538785726155447,0.06259858187950795,1
obsr1009969,2.9006886825980125,0.04730694893954783,1
obsr1010087,3.0391507592037432,0.07064148377567796,1
obsr1010223,3.5144126323601936,0.020073673263646948,1
obsr1010372,3.0092501100414983,0.03490323315541991,1
obsr1011073,2.981356068928062,0.08660254477882622,1
obsr1011742,3.010754460962505,0.01881947739655123,1
obsr1011782,2.8113062534467628,0.0868717371572311,1
obsr1011878,2.823895737114555,0.049847557311972115,1
obsr1011902,2.5552123380199476,0.2504288472872227,1
obsr1011907,3.0992471109299338,0.013664937131928909,1
obsr1012120,2.7375260206987435,0.058923732633804855,1
obsr1012173,2.805577385155014,0.07959769932361774,1
obsr1012550,2.9768697146644305,0.015712206380608763,1
obsr101316,3.059972519680291,0.017459512394234045,1
obsr1014134,2.307674803539388,0.030037060143938733,1
obsr1015106,3.0888784187727407,0.018500994211626293,1
obsr1015226,2.9245373210129593,0.07572736648545171,1
obsr1016062,3.043744204762835,0.06487906799497663,1
obsr101615,2.983760424283793,0.09333105935717435,1
obsr1016485,2.682544958948637,0.04287971055443338,1
obsr1016517,2.4581946360031908,0.061777093614417425,1
obsr1016658,3.1115989392993906,0.06822973663457073,1
obsr1017226,2.682145344077643,0.02909196160606345,1
obsr1017617,3.084854559065481,0.06460365260445813,1
obsr101829,3.0670417651531605,0.012125759576014571,1
obsr1018507,3.3792236166579084,0.05432570349461153,1
obsr1019340,2.809709098563968,0.06055515907250192,1
obsr1019543,1.9541038668452728,0.052689522541932564,1
obsr1019736,3.3902176473208736,0.029894363018803976,1
obsr1019774,3.0617512839331433,0.01951081967253221,1
obsr101991,3.1081343785993973,0.05431709778004589,1
obsr1020006,2.2269218181908608,0.16939414262574345,1
obsr1020245,3.294126054044776,0.09595859736207178,1
obsr1020493,3.299246738498736,0.009925436741397915,1
obsr102121,3.395024504603379,0.02667929268760458,1
obsr1021556,1.8344788867413324,0.1414027890220652,1
