species,Mean,CI_low,CI_high,common_name
Megaceryle alcyon,0.05659161794504198,0.05263787502987411,0.060852576758196886,Belted Kingfisher
Melanerpes carolinus,0.27251984845925636,0.2602719777349082,0.2868871453310613,Red-bellied Woodpecker
Melanerpes erythrocephalus,0.02651777251243379,0.021714478597450088,0.030502836699926362,Red-headed Woodpecker
Meleagris gallopavo,0.06412850989994323,0.05977701220979501,0.06857457232143115,Wild Turkey
Melospiza georgiana,0.05010587620939444,0.04619176352341503,0.05486488388215408,Swamp Sparrow
Melospiza melodia,0.3894481594495981,0.3735731470062924,0.405706808559672,Song Sparrow
Mergus merganser,0.036334547982836855,0.03315306806056058,0.03975591162381671,Common Merganser
Mergus serrator,0.02667486901890707,0.023513113748620685,0.02940812078949242,Red-breasted Merganser
Mniotilta varia,0.03401893378278379,0.0313734878633262,0.036374208874039235,Black-and-white Warbler
Molothrus ater,0.20504058796769317,0.19320012510688991,0.2162508805292587,Brown-headed Cowbird
Myiarchus crinitus,0.0694617016611419,0.0641564777657732,0.07495791529222233,Great Crested Flycatcher
Nannopterum auritum,0.05688996738898615,0.053254029725662164,0.06129971800982737,Double-crested Cormorant
Oxyura jamaicensis,0.02115370592123068,0.019326082782952496,0.023207326089688368,Ruddy Duck
Pandion haliaetus,0.03322705675466952,0.03008959273333311,0.03589726269299637,Osprey
Parkesia noveboracensis,0.01608080321999375,0.014165740761792368,0.017769288759752273,Northern Waterthrush
Passer domesticus,0.2574281455432027,0.2401657589360527,0.27373858695728526,House Sparrow
Passerculus sandwichensis,0.032255610356106905,0.028389567601764316,0.036064670206751075,Savannah Sparrow
Passerella iliaca,0.018410023756275706,0.0167240185074256,0.01999299309517564,Fox Sparrow
Passerina cyanea,0.09765495483839845,0.08500018129981023,0.10960832213374443,Indigo Bunting
Pelecanus erythrorhynchos,0.028052198871797905,0.025004380735273137,0.030843555224347594,American White Pelican
Petrochelidon pyrrhonota,0.027011079389758122,0.023623833973761752,0.029580096388211644,Cliff Swallow
Phasianus colchicus,0.019139334056491413,0.015378572170440277,0.022334709370072387,Ring-necked Pheasant
Pheucticus ludovicianus,0.11606916317744498,0.10471020142310461,0.12659688979558642,Rose-breasted Grosbeak
Pipilo erythrophthalmus,0.0668093723150778,0.05908882720066263,0.07379255784974968,Eastern Towhee
Piranga olivacea,0.03143399933764474,0.026118845377732125,0.035602669365223924,Scarlet Tanager
Podiceps auritus,0.016711328003724265,0.01519486166127449,0.018260803971231483,Horned Grebe
Podilymbus podiceps,0.052599066896928906,0.0494081692530466,0.05617324101943797,Pied-billed Grebe
Poecile atricapillus,0.42885229517983087,0.41393375580156166,0.4430334848058272,Black-capped Chickadee
Polioptila caerulea,0.06982990286992989,0.06522642541243451,0.07375138189588747,Blue-gray Gnatcatcher
Porzana carolina,0.02226539887900026,0.020033530049799693,0.02419074921028436,Sora
Progne subis,0.020835322070108176,0.01901695420175621,0.02264934758632328,Purple Martin
Quiscalus quiscula,0.2824496745522367,0.2706050068993532,0.2945035564084443,Common Grackle
Regulus satrapa,0.025612519515984953,0.023151588248936716,0.027934743849803982,Golden-crowned Kinglet
Riparia riparia,0.021185778834636244,0.019118394746904938,0.023181051475046698,Bank Swallow
Sayornis phoebe,0.11030607769810774,0.1040075366760544,0.11564275016193373,Eastern Phoebe
Seiurus aurocapilla,0.033253674946125265,0.028983918015519795,0.036774520048213875,Ovenbird
Setophaga americana,0.010952589020682475,0.009676689325243012,0.011932899581090634,Northern Parula
Setophaga coronata,0.09867435533147681,0.0933171438394388,0.10453976488045873,Yellow-rumped Warbler
Setophaga fusca,0.012756023105414316,0.011706566144743736,0.013738798463194823,Blackburnian Warbler
Setophaga magnolia,0.02097724968253408,0.019322537095728076,0.022692355617778288,Magnolia Warbler
Setophaga palmarum,0.04283779295932494,0.03991672326971918,0.045585993008139244,Palm Warbler
Setophaga pensylvanica,0.027385787389796322,0.025426922479850844,0.029336045415076548,Chestnut-sided Warbler
Setophaga petechia,0.15614676307824726,0.14713884942542094,0.1668860757381425,Yellow Warbler
Setophaga pinus,0.013137256139181984,0.011422890347756861,0.01471081662686829,Pine Warbler
Setophaga ruticilla,0.08265182070073772,0.0740931951214506,0.09022894220953487,American Redstart
Setophaga striata,0.011320028082010982,0.010163545558018397,0.012319079243870403,Blackpoll Warbler
Setophaga virens,0.017749557593569786,0.015989178880340824,0.019467576171776343,Black-throated Green Warbler
Sialia sialis,0.1174561565704466,0.10937674527779143,0.12433036926081294,Eastern Bluebird
Sitta canadensis,0.03325352047374404,0.02976491716057691,0.037002812821733864,Red-breasted Nuthatch
Sitta carolinensis,0.2794208871416218,0.26636643412457967,0.2930614942924023,White-breasted Nuthatch
Spatula clypeata,0.036089230320780485,0.03297656692125987,0.03913165227249492,Northern Shoveler
Spatula discors,0.053486661021528346,0.04990909139665025,0.0579707848037744,Blue-winged Teal
Sphyrapicus varius,0.02545914505251905,0.022162170337665703,0.02789184275321918,Yellow-bellied Sapsucker
Spinus pinus,0.027198522559135185,0.023761268853092928,0.03036037386310138,Pine Siskin
Spinus tristis,0.4053493647155691,0.39225834098240525,0.4170945732503879,American Goldfinch
Spiza americana,0.015558339837605791,0.012003273385044352,0.018052899122536686,Dickcissel
Spizella pallida,0.01903719354706195,0.016743398480319416,0.021258412923148725,Clay-colored Sparrow
Spizella passerina,0.2027746570031363,0.18846356158919564,0.2145757444110312,Chipping Sparrow
Spizella pusilla,0.07393033733066465,0.06580841084181162,0.08088551501318325,Field Sparrow
Spizelloides arborea,0.04333374200605176,0.038717329752844566,0.047775963051419505,American Tree Sparrow
Stelgidopteryx serripennis,0.0480697835419088,0.04406581012680828,0.0510857123492989,Northern Rough-winged Swallow
Strix varia,0.011921189908147627,0.010677250402992245,0.013115985676371136,Barred Owl
Sturnella magna,0.04438597882668025,0.03792289756224076,0.04903202229018363,Eastern Meadowlark
Sturnus vulgaris,0.21345911871496315,0.20130029215142317,0.2256656479961317,European Starling
Tachycineta bicolor,0.20424360470532477,0.19196219923916397,0.21514284158433453,Tree Swallow
Thryothorus ludovicianus,0.01940023882040891,0.015626927675070172,0.023111653699844133,Carolina Wren
Toxostoma rufum,0.049050118070065325,0.04410138705425476,0.05345519007314862,Brown Thrasher
Tringa flavipes,0.018105852749818865,0.015937161786813175,0.01961792854413407,Lesser Yellowlegs
Tringa melanoleuca,0.012718121442806679,0.011293291651957414,0.014129329210019737,Greater Yellowlegs
Tringa solitaria,0.014569854280234941,0.013096590407646259,0.015818438292072808,Solitary Sandpiper
Troglodytes aedon,0.1710108921829772,0.15630223352979827,0.18331203400552243,Northern House Wren
Turdus migratorius,0.59545262240455,0.5794995316085652,0.6115036690019398,American Robin
Tyrannus tyrannus,0.08777411960333313,0.0821845156221474,0.09295701653236589,Eastern Kingbird
Vermivora cyanoptera,0.018289549337759843,0.014904767509351565,0.020921146886143018,Blue-winged Warbler
Vireo flavifrons,0.03526535976815539,0.028438517514495516,0.04113950060934389,Yellow-throated Vireo
Vireo gilvus,0.0703664835185726,0.0637588658282113,0.07594293234680072,Warbling Vireo
Vireo olivaceus,0.07943494379816793,0.06963575397721422,0.08669812418456058,Red-eyed Vireo
Zenaida macroura,0.3812374853209649,0.3661232310416138,0.39547108733564756,Mourning Dove
Zonotrichia albicollis,0.05777805362888927,0.05357998404862893,0.06145942851667676,White-throated Sparrow
Zonotrichia leucophrys,0.029057689983630057,0.026701078374465816,0.03145360798700566,White-crowned Sparrow
