common_name,N,time,Index,audio_index
Great Egret,0.0544513720999279,pre,0.5648485,0.00253736949911759
Great Horned Owl,0.00924629935954532,pre,0.062866,0.08264042320371906
Greater Prairie-Chicken,4.8352207660007634e-4,pre,0.056743,0.03382045929018789
Green Heron,0.04539169529626331,pre,0.6212105,0.0124631778890266
Green-winged Teal,0.015167324087033973,pre,0.0186825,0.00876116218423201
Hairy Woodpecker,0.1161470925054078,pre,0.74070925,0.05439063816223846
Henslow's Sparrow,0.007193451244857276,pre,0.0814965,0.15892846417202233
Hermit Thrush,0.023226025363701913,pre,0.112445,0.05974468593978893
Hooded Merganser,0.04831827628621114,pre,0.10184575,0.00198679800577471
Hooded Warbler,0.0046146668363235355,pre,0.045552999999999996,0.1701926782273603
Horned Lark,0.021096831657971753,pre,22.570476499999998,0.02264318074868284
House Finch,0.19113542859566526,pre,8.707846499999999,0.03027182189694652
House Sparrow,0.2464435678839547,pre,90.85822425,0.03764395243659849
Indigo Bunting,0.09437163337150613,pre,11.59424,0.07250272685690158
Killdeer,0.13375747550578954,pre,13.30817725,0.02504885649395236
Lark Sparrow,0.0021800907664249057,pre,0.06856875,0.02048596811201977
LeConte's Sparrow,1.6965686898248294e-4,pre,0.029728,0.04453340005003753
Least Bittern,0.0020019510539932986,pre,0.012722250000000001,0.09069493521790342
Least Flycatcher,0.02561818721635492,pre,0.7150215,0.08416867429283825
Lesser Scaup,0.03402468507443695,pre,0.0215115,4.424160573743771e-4
Lincoln's Sparrow,0.007337659583492387,pre,0.00503575,0.02683123854525871
Loggerhead Shrike,2.8841667727022097e-4,pre,0.00385425,0.01578694768658926
Louisiana Waterthrush,0.0022734020443652713,pre,0.00917475,0.1735109755225588
Magnolia Warbler,0.02111379734487,pre,0.01472675,0.04209924665492298
Mallard,0.3301437841964627,pre,7.7305085,0.00672852514450048
Marsh Wren,0.019612334054375027,pre,1.0906445,0.1501075338894682
Merlin,0.0028672010858039614,pre,0.0099385,0.00984004714650538
Mourning Dove,0.35958773380837256,pre,37.65037275,0.01274254009740039
Mourning Warbler,0.0044450099673410525,pre,0.31853625,0.22028725314183123
Mute Swan,0.04752088900199347,pre,0.58015525,0.00425654946431726
Nashville Warbler,0.02879925350977648,pre,0.14312124999999998,0.05872060470324748
Northern Bobwhite,3.053823641684693e-4,pre,0.02823575,0.1966118260302981
Northern Cardinal,0.4726131399245027,pre,14.89251675,0.05562262406246789
Northern Flicker,0.14791534122237773,pre,2.4612795,0.03248474629304501
Northern Harrier,0.013530135301353014,pre,0.19032,0.00308366004080977
Northern Mockingbird,0.0018747084022564364,pre,0.16625575,0.03585991301196085
Northern Parula,0.011121007761801756,pre,0.027494499999999998,0.06651860165506121
Northern Pintail,0.005098188912923612,pre,0.0081995,0.00266528163142572
Northern Rough-winged Swallow,0.04639267082325996,pre,1.9237185,0.0155854487596731
Northern Shoveler,0.033541162997836875,pre,0.02018975,0.00209488601355514
Northern Waterthrush,0.015277601051872588,pre,0.062416,0.14192620297777458
Olive-sided Flycatcher,0.0038427280824532384,pre,0.0133095,0.04435207671710567
Orchard Oriole,0.0178818339907537,pre,0.35589875,0.04871554226597115
Osprey,0.0325317046273911,pre,0.11895025000000001,0.00851742844105976
Ovenbird,0.03244687619289986,pre,2.6135225,0.16176342714703923
Peregrine Falcon,0.004707978114263901,pre,0.006121,0.00699219264224884
Pied-billed Grebe,0.048827246893158587,pre,0.16271175,0.00681801233634107
Pileated Woodpecker,0.05458709759511388,pre,0.813493,0.04244650499286733
Pine Siskin,0.0248377656190355,pre,0.017736500000000002,0.03943253632158446
Pine Warbler,0.012351020061924758,pre,0.45331,0.05248244527054935
Prairie Warbler,0.0010858039614878908,pre,0.0034195,0.04845643841292862
Prothonotary Warbler,0.006718412011706324,pre,0.039246,0.05103027780158429
Purple Finch,0.012537642617805489,pre,0.0668835,0.04275964326988073
Purple Martin,0.021393731178691096,pre,1.48167,0.03718392462263244
Red Crossbill,2.714509903719727e-4,pre,0.007208,0.35198578715112616
Red-bellied Woodpecker,0.2594732154218094,pre,4.200588,0.03296822001857973
Red-breasted Nuthatch,0.0320396997073419,pre,0.2634415,0.05415821840910233
Red-eyed Vireo,0.07673580184077702,pre,7.62209875,0.13198029983222384
Red-headed Woodpecker,0.02779827798277983,pre,0.54518675,0.0260037802852397
Red-necked Grebe,0.0018153284981125674,pre,0.02015575,0.0036267774404857
Red-shouldered Hawk,0.00789752725113458,pre,0.07376725,0.02893985125648677
Red-tailed Hawk,0.0960512363744327,pre,1.2891542500000002,0.00617140062134349
Red-winged Blackbird,0.5179539381600713,pre,213.11154224999999,0.03924195576205357
Redhead,0.025711498494295288,pre,0.101313,0.00117422712370717
Ring-billed Gull,0.11762310726555542,pre,10.337113,0.00681117015982962
Ring-necked Duck,0.04207490350765577,pre,0.10673575,0.00187665178670575
Ring-necked Pheasant,0.01878101539636086,pre,12.32418625,0.02297506912753186
Rock Pigeon,0.053959367179878696,pre,61.73894275,0.00661650807700818
Rose-breasted Grosbeak,0.11454383509352335,pre,6.473616,0.04822962906181839
Ruby-throated Hummingbird,0.09210671417058998,pre,0.40161199999999997,0.00756853635009332
Ruddy Duck,0.01976502523645926,pre,0.02899575,0.0013378379522612
Ruffed Grouse,0.002824786868558341,pre,0.06601699999999999,0.02673464718763277
Sandhill Crane,0.12721720320651483,pre,15.8577685,0.02052362354585225
Savannah Sparrow,0.029189464308436188,pre,9.032828,0.03642121217589
Scarlet Tanager,0.03245535903634898,pre,1.0457935,0.06421782686873877
Sedge Wren,0.014726216227679518,pre,2.85304475,0.19474462518484817
Sharp-shinned Hawk,0.005183017347414854,pre,0.01565075,0.00844466435757875
Short-eared Owl,5.598676676421936e-4,pre,0.0031644999999999998,0.00733389323270916
Song Sparrow,0.36302328540526785,pre,46.77964525,0.04787207476179113
Sora,0.02117317724901387,pre,0.24068699999999998,0.06980392156862746
Spotted Sandpiper,0.030758790346524154,pre,0.104819,0.01287676789662968
Swainson's Thrush,0.025058319548712727,pre,0.00827475,0.18071761096435637
Swamp Sparrow,0.046579293379140685,pre,1.92517375,0.05009222571389534
Tree Swallow,0.19795563472876107,pre,10.80769575,0.01217405746553728
Tufted Titmouse,0.11376341349620393,pre,1.80353225,0.09656906103067828
Turkey Vulture,0.1550324468761929,pre,3.21053925,3.9224349754960527e-4
Upland Sandpiper,0.0010518725876913942,pre,0.064199,0.08217288070333055
Veery,0.02051999830343131,pre,1.513815,0.21767444163819144
Vesper Sparrow,0.008618568944310134,pre,5.3003345,0.04100730371272063
Virginia Rail,0.007006828688976545,pre,0.021705500000000003,0.18681039069186464
Warbling Vireo,0.06634431861559995,pre,8.27644675,0.1130823312964058
Western Kingbird,3.053823641684693e-4,pre,0.00545725,0.01415547024952015
White-breasted Nuthatch,0.2686855834075582,pre,4.1518749999999995,0.03932415006568085
White-eyed Vireo,0.0016626373160283326,pre,0.014187,0.18229073891146988
White-throated Sparrow,0.05428171523094541,pre,0.0825025,0.05287933691139813
Wild Turkey,0.06431691903125927,pre,4.316579,0.01357724223100088
Willow Flycatcher,0.019264537472960936,pre,2.45576425,0.11422187849102004
Wilson's Phalarope,0.0026381643126776096,pre,0.00613,0.00170052454641777
Wilson's Snipe,0.008618568944310134,pre,0.29546574999999997,0.01938294198005
Winter Wren,0.005573228146074564,pre,0.03834225,0.2165603785229377
Wood Duck,0.14298680917843662,pre,2.1442055,0.00806292863835717
Wood Thrush,0.029613606480892396,pre,1.3238465000000001,0.3439384368000919
Yellow Warbler,0.15191924333036433,pre,12.0004235,0.04700733141866162
Yellow-bellied Flycatcher,0.0021037451753827883,pre,0.0132345,0.10845656535632012
Yellow-bellied Sapsucker,0.02426093226449506,pre,0.7492894999999999,0.0237653916914151
Yellow-billed Cuckoo,0.009933409678924376,pre,0.40905275,0.0843160478569099
Yellow-breasted Chat,7.719387538702974e-4,pre,0.03675625,0.1355189277304836
Yellow-headed Blackbird,0.008423463544980277,pre,1.5576587499999999,0.0154938761623951
Yellow-rumped Warbler,0.0949569495694957,pre,0.055170250000000004,0.01995444500395279
Yellow-throated Vireo,0.033761716927514104,pre,2.2153155,0.1627502852993049
Yellow-throated Warbler,0.0012554608304703736,pre,0.16507125,0.05883892734570414
Acadian Flycatcher,0.009168932245855323,post,0.23967149999999998,0.300500252064994
Alder Flycatcher,0.005472928549851627,post,2.3462935,0.31918050835287926
American Bittern,0.0041402349094656786,post,0.060274999999999995,0.03435083697880514
American Black Duck,0.003358387973772589,post,0.003817,0.00256833322956229
American Coot,0.03809726886649963,post,0.027818500000000003,0.00656175011759942
American Crow,0.32498178652024806,post,46.9559495,0.07789828800842638
American Goldfinch,0.40105193951347795,post,17.489413,0.02886895642793884
American Goshawk,1.7769248538479306e-5,post,0.001996,0.04369488031153362
American Kestrel,0.014197629582244967,post,0.661344,0.00577887277019829
American Redstart,0.08465270003731543,post,3.1122965000000002,0.06945654933878682
American Robin,0.6044032197878352,post,75.607186,0.03944734886772119
American White Pelican,0.03759972990742221,post,63.0836865,2.1537931373996947e-4
American Woodcock,0.005419620804236189,post,0.014586,0.546774577481552
Bald Eagle,0.07107699415391723,post,0.467383,0.00349845631912565
Baltimore Oriole,0.16921655383193845,post,6.763244,0.02794049679159904
Bank Swallow,0.015192707500399808,post,10.180913499999999,0.01326770377572516
Barn Swallow,0.16038523730831422,post,24.795561,0.01587309593463129
Barred Owl,0.012154166000319846,post,0.101214,0.08437066382448168
Bell's Vireo,7.463084386161309e-4,post,0.026938,0.2392064324418808
Belted Kingfisher,0.06537306537306538,post,0.2727885,0.01770883344646237
Black Tern,0.010590472128933668,post,0.1508405,0.00838728194661479
Black-and-white Warbler,0.023917408532793148,post,0.268075,0.04071707647591487
Black-billed Cuckoo,0.004513389128773744,post,0.415582,0.1639654716814939
Black-capped Chickadee,0.42598219521296443,post,6.024968,0.0644706895491173
Black-crowned Night Heron,0.00668123745046822,post,0.0278215,0.00907334960053173
Black-throated Blue Warbler,0.0025765410380794995,post,0.009444000000000001,0.06076629317218515
Black-throated Green Warbler,0.012331858485704639,post,0.115585,0.04142854278208907
