common_name,N,time,Index,audio_index
Peregrine Falcon,0.00827406843887926,pre,0.006121,0.00699219264224884
Yellow Warbler,0.5932303511829163,pre,12.0004235,0.04700733141866162
Mallard,4.596059420024922,pre,7.7305085,0.00672852514450048
Sandhill Crane,0.9857157568118374,pre,15.8577685,0.02052362354585225
Canada Goose,8.300387400425796,pre,193.34919225,0.01555045537537116
Black-capped Chickadee,1.7743985235198279,pre,6.8390625,0.0644706895491173
Red-winged Blackbird,7.009632723960633,pre,213.11154224999999,0.03924195576205357
Turkey Vulture,0.5703239938405488,pre,3.21053925,3.9224349754960527e-4
Killdeer,0.6683794879736634,pre,13.30817725,0.02504885649395236
Least Flycatcher,0.05207514275063083,pre,0.7150215,0.08416867429283825
Common Yellowthroat,0.5259840872860337,pre,25.44983375,0.06842491725664687
Baltimore Oriole,0.5271814922699526,pre,6.653995999999999,0.02794049679159904
Song Sparrow,1.4156200681882225,pre,46.77964525,0.04787207476179113
Brown-headed Cowbird,0.8434760187721171,pre,17.63855875,0.0285454039039152
Bank Swallow,0.2234237959494184,pre,8.600258,0.01326770377572516
American Redstart,0.3552101884795272,pre,2.68483925,0.06945654933878682
American Goldfinch,1.9720421901654734,pre,20.832276,0.02886895642793884
Field Sparrow,0.22410631679025217,pre,3.2147425,0.07353012515765985
Northern Rough-winged Swallow,0.2762054076405614,pre,1.9237185,0.0155854487596731
Eastern Kingbird,0.22578268376773855,pre,2.8805472500000002,0.01420260732581649
Great Egret,0.3992387697382233,pre,0.5648485,0.00253736949911759
Great Blue Heron,0.40700992808385666,pre,1.60215225,0.00428259855780489
Red-tailed Hawk,0.1692531944769296,pre,1.2891542500000002,0.00617140062134349
Northern Cardinal,1.6152873492566908,pre,14.89251675,0.05562262406246789
Henslow's Sparrow,0.025049712263582363,pre,0.0814965,0.15892846417202233
Northern Harrier,0.02266687634558385,pre,0.19032,0.00308366004080977
Northern Flicker,0.32483202403750594,pre,2.4612795,0.03248474629304501
Ruby-crowned Kinglet,0.21337756813433925,pre,0.06086581933629119,0.03300124192339467
Blue Jay,1.2291242419428614,pre,9.2349205,0.084809997579587
Bobolink,0.09363706974245416,pre,5.75455175,0.05381882552521912
Downy Woodpecker,0.7035233242516817,pre,1.9687982499999999,0.0232547684076834
Gray Catbird,0.6342175237824587,pre,11.50185725,0.07969093869875381
Red-bellied Woodpecker,0.553380713318097,pre,4.200588,0.03296822001857973
Wild Turkey,0.3153964727642254,pre,4.316579,0.01357724223100088
Swamp Sparrow,0.1388271338355516,pre,1.92517375,0.05009222571389534
Great Crested Flycatcher,0.13701905230983413,pre,4.30307725,0.07568548007161029
Double-crested Cormorant,1.011926951909821,pre,1.825954,0.00169349382360924
Rose-breasted Grosbeak,0.33813519340884435,pre,6.473616,0.04822962906181839
Blue-gray Gnatcatcher,0.2019662986375926,pre,0.56709975,0.04130934950847103
Sora,0.04993178782941609,pre,0.24068699999999998,0.06980392156862746
Palm Warbler,0.20347502891733035,pre,0.002265175963975518,0.01435194788448924
White-breasted Nuthatch,0.6331398592969317,pre,4.1518749999999995,0.03932415006568085
Tree Swallow,2.090788842420706,pre,10.80769575,0.01217405746553728
Warbling Vireo,0.16060793049303548,pre,8.27644675,0.1130823312964058
White-throated Sparrow,0.27163132060199136,pre,0.0825025,0.05287933691139813
White-crowned Sparrow,0.10454542914595488,pre,0.09040373716457664,0.02774319614834512
Redhead,0.5644686834691856,pre,0.101313,0.00117422712370717
Ring-necked Duck,1.2102291912966219,pre,0.10673575,0.00187665178670575
Black Tern,0.08469245451258034,pre,0.25891975,0.00838728194661479
Rock Pigeon,0.4667484627315681,pre,61.73894275,0.00661650807700818
American Coot,1.8842245086448648,pre,0.03596,0.00656175011759942
Bald Eagle,0.21505393511182566,pre,0.35819524999999997,0.00349845631912565
Gadwall,0.28591636206014326,pre,0.0115145,0.00684674796203836
American White Pelican,0.9450039873585965,pre,41.73957125,2.1537931373996947e-4
Pied-billed Grebe,0.2112581613128029,pre,0.16271175,0.00681801233634107
Yellow-rumped Warbler,0.7414571141422309,pre,0.055170250000000004,0.01995444500395279
Blue-winged Teal,0.41757104004202095,pre,0.19198975000000001,0.00367188073731365
Forster's Tern,0.05203922060111327,pre,0.20547725,0.00799364687934295
Brown Thrasher,0.08976945164439626,pre,2.4165247499999998,0.06200961547368713
Yellow-headed Blackbird,0.05297319648856997,pre,1.5576587499999999,0.0154938761623951
Mourning Dove,1.2655373275038337,pre,37.65037275,0.01274254009740039
Horned Lark,0.1022344375269915,pre,22.570476499999998,0.02264318074868284
Vesper Sparrow,0.019433882889002954,pre,5.3003345,0.04100730371272063
Brown Creeper,0.053356366083424006,pre,0.0186325,0.05173064695596884
Chimney Swift,0.44963754551136775,pre,3.27630675,0.06495669553630913
American Crow,1.3030161035004937,pre,45.5319765,0.07789828800842638
Osprey,0.0634624641476991,pre,0.11895025000000001,0.00851742844105976
Blackburnian Warbler,0.027552288679972763,pre,0.030312,0.04338468647025206
Black-throated Green Warbler,0.04120270549664767,pre,0.0996515,0.04142854278208907
Chipping Sparrow,0.5933141695317907,pre,25.78140875,0.04764761422855623
American Robin,3.9737560758324557,pre,79.31416,0.03944734886772119
Blue-headed Vireo,0.01592548628612072,pre,0.0560245,0.07997858819331018
Green-winged Teal,0.1432096360766946,pre,0.0186825,0.00876116218423201
Lesser Scaup,1.3834817184198405,pre,0.0215115,4.424160573743771e-4
