effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),-2.092262943189782,0.30780639770676027,-6.7973341645193175,1.0657271104076548e-11
fixed,cond,NA,Index,0.49573333463588803,0.02762808327656573,17.94309542480536,5.434192719122634e-72
fixed,cond,NA,merlinpost,-0.16067143899887304,0.05232661176265594,-3.07054925947909,0.0021366543786644743
fixed,cond,NA,merlinpre:audio_index,-0.25126682542575535,0.05967932400892652,-4.210282700054917,2.550513373931736e-5
fixed,cond,NA,merlinpost:audio_index,-0.22061428678881273,0.059655522481367684,-3.6981368633175173,2.1718778176363392e-4
ran_pars,cond,common_name,sd__(Intercept),1.144190164113001,NA,NA,NA
