effect,component,group,term,estimate,std.error,statistic,p.value
fixed,cond,NA,(Intercept),0.10450577283540469,0.01689804270050651,6.1844898067556775,6.23036387436393e-10
fixed,cond,NA,Index,0.021420150037290954,0.00153314739340606,13.971357306816843,2.3314069930348166e-44
fixed,cond,NA,merlinpost,-0.003225577285043565,0.0024552725943920647,-1.3137348954290882,0.1889354335033099
fixed,cond,NA,audio_index,-0.002472668330053263,0.0033262183402716834,-0.7433872575698975,0.457247256701991
fixed,cond,NA,merlinpost:audio_index,0.0010900169913898863,4.972020007606048e-4,2.1923021020076567,0.028357700085043534
ran_pars,cond,common_name,sd__(Intercept),0.07932095745561625,NA,NA,NA
ran_pars,cond,Residual,sd__Observation,0.008477674104266636,NA,NA,NA
