effect,group,term,estimate,std.error,statistic
fixed,NA,(Intercept),0.3933546065022195,0.013139764681295516,29.936198710024133
fixed,NA,Index,0.024237244230426523,0.011620313302139779,2.0857651252796643
fixed,NA,merlinpost,0.001795978231182948,0.005211711828002277,0.34460428558870876
fixed,NA,audio_index,-0.054258437600255255,0.013021595230820564,-4.166804192456543
fixed,NA,merlinpost:audio_index,0.035499475191385285,0.00516797320086038,6.8691291172862945
ran_pars,common_name,sd__(Intercept),0.15130002917532326,NA,NA
ran_pars,Residual,sd__Observation,0.044192125245755935,NA,NA
