effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),-1.427125819352045,0.48332457777564897,-2.9527275975079683,0.003149797785525545
fixed,NA,Index,0.019485860049033722,0.03975515740421225,0.49014672111370133,0.6240300790770917
fixed,NA,merlinpost,-0.721762477986744,0.04657981262409269,-15.495177788959662,3.7392498899756964e-54
fixed,NA,audio_index,-0.28818894706403164,0.08069973083120083,-3.5711264969004026,3.5544916308131715e-4
fixed,NA,merlinpost:audio_index,0.12773204937526178,0.010031878453979966,12.732615328347245,3.895678091542868e-37
ran_pars,common_name,sd__(Intercept),1.1693283254027607,NA,NA,NA
ran_pars,Residual,sd__Observation,0.15863700709898162,NA,NA,NA
