effect,group,term,estimate,std.error,statistic,p.value
fixed,NA,(Intercept),-3.051372486302862,0.3664589321237125,-8.326642411523354,8.316747819922735e-17
fixed,NA,Index,-0.020599190397054854,0.023946979274095045,-0.8601999509532418,0.38967883171792755
fixed,NA,merlinpost,-0.24370926721967767,0.026022996148414183,-9.365150186003047,7.594221051455402e-21
fixed,NA,merlinpre:audio_index,-0.046635265247755964,0.06378168930472687,-0.7311701172565183,0.4646752503386372
fixed,NA,merlinpost:audio_index,-0.013275234703748638,0.06373763320909055,-0.20827937962803525,0.8350108312687681
ran_pars,common_name,sd__(Intercept),1.4057666904683355,NA,NA,NA
ran_pars,Residual,sd__Observation,0.15968106156862083,NA,NA,NA
