species,common_name,N,audio_index,time
Melanerpes carolinus,Red-bellied Woodpecker,0.5123254150681013,0.28510595008214845,pre
Melanerpes erythrocephalus,Red-headed Woodpecker,0.678493878702574,0.11835196632494903,pre
Meleagris gallopavo,Wild Turkey,0.6435980668065318,-0.33830028646160387,pre
Melospiza georgiana,Swamp Sparrow,0.16591426796531178,0.5790637602567431,pre
Melospiza melodia,Song Sparrow,0.3378555578615567,0.5472075887281274,pre
Mergus merganser,Common Merganser,0.4842117361275369,-1.5057568685837501,pre
Mergus serrator,Red-breasted Merganser,0.3698097336461956,-2.580335147554955,pre
Mniotilta varia,Black-and-white Warbler,0.32853814735817843,0.43344995551512794,pre
Molothrus ater,Brown-headed Cowbird,0.3711148972106276,0.18388225763787924,pre
Myiarchus crinitus,Great Crested Flycatcher,0.22203921939338433,0.869085537083709,pre
Nannopterum auritum,Double-crested Cormorant,0.48720789661688507,-1.8010570029558195,pre
Oxyura jamaicensis,Ruddy Duck,0.3609329387997747,-1.9667124856364047,pre
Pandion haliaetus,Osprey,0.5739667357894314,-0.66595910501404465,pre
Parkesia noveboracensis,Northern Waterthrush,0.18906010738610862,1.310892388630982,pre
Passer domesticus,House Sparrow,0.6506600024622085,0.3783048071987633,pre
Passerculus sandwichensis,Savannah Sparrow,0.12803203478884642,0.35510073382509666,pre
Passerella iliaca,Fox Sparrow,0.43151523660835717,0.8370696156038613,pre
Passerina cyanea,Indigo Bunting,0.23179763090178046,0.8388957072311356,pre
Pelecanus erythrorhynchos,American White Pelican,0.5777011759750592,-3.250143966937119,pre
Petrochelidon pyrrhonota,Cliff Swallow,0.3057360764632407,0.0029047390512793275,pre
Phasianus colchicus,Ring-necked Pheasant,0.4783179407396066,0.031334125150656283,pre
Pheucticus ludovicianus,Rose-breasted Grosbeak,0.4581929735416726,0.5524365746452984,pre
Pipilo erythrophthalmus,Eastern Towhee,0.268291257770724,1.2045924353530864,pre
Piranga olivacea,Scarlet Tanager,0.2162614367964374,0.753626850249922,pre
Podiceps auritus,Horned Grebe,0.33414032347355804,-1.9979262000828504,pre
Podilymbus podiceps,Pied-billed Grebe,0.41379111179316813,-0.8223441775811061,pre
Poecile atricapillus,Black-capped Chickadee,0.7426727055861122,0.756388382073711,pre
Polioptila caerulea,Blue-gray Gnatcatcher,0.17527260144380383,0.44359795105469235,pre
Pooecetes gramineus,Vesper Sparrow,0.1341723392208229,0.43844101685856385,pre
Porzana carolina,Sora,0.3153086906536183,0.8122392157694601,pre
Progne subis,Purple Martin,0.25075041453541747,0.36966447006235104,pre
Quiscalus quiscula,Common Grackle,0.4611084492106002,0.1904075195456425,pre
Regulus satrapa,Golden-crowned Kinglet,0.2906961981333857,0.6954867114112622,pre
Riparia riparia,Bank Swallow,0.2491635570132813,-0.3545062879646161,pre
Sayornis phoebe,Eastern Phoebe,0.3754753630890457,0.10782402975384488,pre
Seiurus aurocapilla,Ovenbird,0.18772680204872644,1.4028259990101994,pre
Setophaga americana,Northern Parula,0.13375011663599876,0.778362702845911,pre
Setophaga coronata,Yellow-rumped Warbler,0.5135760158297006,-0.06771793611872538,pre
Setophaga fusca,Blackburnian Warbler,0.2355187665932588,0.47804303820268645,pre
Setophaga magnolia,Magnolia Warbler,0.31378240121881096,0.4569079269001738,pre
Setophaga palmarum,Palm Warbler,0.4315232051829273,-0.29930659475145655,pre
Setophaga pensylvanica,Chestnut-sided Warbler,0.2616624035719899,0.6930653012493441,pre
Setophaga petechia,Yellow Warbler,0.29862507627985796,0.5343980985326431,pre
Setophaga pinus,Pine Warbler,0.17025239584528945,0.6118190042048821,pre
Setophaga ruticilla,American Redstart,0.32754832407207723,0.8087335324015125,pre
Setophaga striata,Blackpoll Warbler,0.23265679102105044,0.398585948993304,pre
Setophaga virens,Black-throated Green Warbler,0.16614669022966314,0.4456226112527847,pre
Sialia sialis,Eastern Bluebird,0.4813919886834261,-0.36836077269720435,pre
Sitta canadensis,Red-breasted Nuthatch,0.5789904265315656,0.6339057985489943,pre
Sitta carolinensis,White-breasted Nuthatch,0.6023100143272937,0.40898959599572215,pre
Spatula clypeata,Northern Shoveler,0.40397699934545633,-1.6515873369561962,pre
Spatula discors,Blue-winged Teal,0.45411350375118564,-1.257224510604358,pre
Sphyrapicus varius,Yellow-bellied Sapsucker,0.3809132903254815,0.05510019318928054,pre
Spinus pinus,Pine Siskin,0.5290503333515599,0.41092375245981905,pre
Spinus tristis,American Goldfinch,0.5953463935138471,0.1918024076846225,pre
Spiza americana,Dickcissel,0.34169521176644785,0.9502502909855306,pre
Spizella pallida,Clay-colored Sparrow,0.3603227177676753,0.3690745259768011,pre
Spizella passerina,Chipping Sparrow,0.40878303993009585,0.5439050156191141,pre
Spizella pusilla,Field Sparrow,0.2989643847376976,0.848783514485259,pre
Spizelloides arborea,American Tree Sparrow,0.49243924444142484,0.018572249811996823,pre
Stelgidopteryx serripennis,Northern Rough-winged Swallow,0.2130108472003193,-0.24136693726929312,pre
Sterna forsteri,Forster's Tern,0.36545586184288364,-0.7105581075671715,pre
Strix varia,Barred Owl,0.6091970418098072,0.9454230521537939,pre
Sturnella magna,Eastern Meadowlark,0.29951178610272194,0.7458203472976725,pre
Sturnus vulgaris,European Starling,0.4024057919363436,-0.023904305070916718,pre
Tachycineta bicolor,Tree Swallow,0.4091608427529673,-0.4149570783306604,pre
Thryothorus ludovicianus,Carolina Wren,0.12066547349660296,1.451263559061716,pre
Toxostoma rufum,Brown Thrasher,0.37491662723772673,0.7290381414448603,pre
Tringa flavipes,Lesser Yellowlegs,0.20592495999635776,-0.47606522635979415,pre
Tringa melanoleuca,Greater Yellowlegs,0.2319082749778857,-0.16368022775851856,pre
Tringa solitaria,Solitary Sandpiper,0.20827310490351167,-0.2704823820502621,pre
Troglodytes aedon,Northern House Wren,0.3392730011298562,1.1198199022123632,pre
Turdus migratorius,American Robin,0.6722885705652534,0.4111876698462532,pre
Tyrannus tyrannus,Eastern Kingbird,0.35819763373080227,-0.30665699320671364,pre
Vermivora cyanoptera,Blue-winged Warbler,0.14925554989791984,0.9299311879190018,pre
Vireo flavifrons,Yellow-throated Vireo,0.11203423336886577,1.4070999306303655,pre
Vireo gilvus,Warbling Vireo,0.18134911056266798,1.1512435279589939,pre
Vireo olivaceus,Red-eyed Vireo,0.1949081922975099,1.2598374902260576,pre
Vireo solitarius,Blue-headed Vireo,0.18127382008125337,0.9078557465425467,pre
Zenaida macroura,Mourning Dove,0.5825516427052757,-0.38288638221003635,pre
Zonotrichia albicollis,White-throated Sparrow,0.4183921808118097,0.6171131445327823,pre
Zonotrichia leucophrys,White-crowned Sparrow,0.6034569083082172,0.16385136214541451,pre
Actitis macularius,Spotted Sandpiper,0.2177971557108529,-0.3755228939426579,post
Agelaius phoeniceus,Red-winged Blackbird,0.5880440849187263,0.40751927824096984,post
Aix sponsa,Wood Duck,0.4504401685576558,-0.7044939116316719,post
