audio_index,common_name,scientific_name
0.009653166087350763,Egyptian Goose,Alopochen aegyptiaca
NA,Mauritius Shelduck,Alopochen mauritiana
NA,Reunion Shelduck,Alopochen kervazoi
0.01724601325927253,Ruddy Shelduck,Tadorna ferruginea
0.012326656394453005,South African Shelduck,Tadorna cana
0.010412018444146957,Australian Shelduck,Tadorna tadornoides
0.03583453583453584,Paradise Shelduck,Tadorna variegata
0.006199482068586675,Common Shelduck,Tadorna tadorna
NA,Crested Shelduck,Tadorna cristata
0.005623552762156798,Spur-winged Goose,Plectropterus gambensis
0.012007389162561576,Flying Steamer-Duck,Tachyeres patachonicus
0.01110260336906585,Flightless Steamer-Duck,Tachyeres pteneres
0.019197207678883072,Falkland Steamer-Duck,Tachyeres brachypterus
0.037694013303769404,White-headed Steamer-Duck,Tachyeres leucocephalus
0.013674197384066587,Crested Duck,Lophonetta specularioides
0.009675190048375951,Spectacled Duck,Speculanas specularis
0.0015381657373582003,Muscovy Duck,Cairina moschata
0.0075055187637969095,Green Pygmy-Goose,Nettapus pulchellus
0.004672400976956568,Cotton Pygmy-Goose,Nettapus coromandelianus
0.006060606060606061,African Pygmy-Goose,Nettapus auritus
0.002437538086532602,Ringed Teal,Callonetta leucophrys
0.008062928638357178,Wood Duck,Aix sponsa
0.0034789987271955877,Mandarin Duck,Aix galericulata
0.004878048780487805,Maned Duck,Chenonetta jubata
NA,Finsch's Duck,Chenonetta finschi
0.0065303316721086095,Brazilian Teal,Amazonetta brasiliensis
0.01984365604329525,Blue Duck,Hymenolaimus malacorhynchos
7.013442431326709e-4,Torrent Duck,Merganetta armata
0.01,Salvadori's Teal,Salvadorina waigiuensis
0.002176278563656148,Baikal Teal,Sibirionetta formosa
0.002800336040324839,Garganey,Spatula querquedula
0.002868617326448652,Blue-billed Teal,Spatula hottentota
0.0020689655172413794,Silver Teal,Spatula versicolor
0.005957836846929423,Puna Teal,Spatula puna
0.003671880737313652,Blue-winged Teal,Spatula discors
0.0014507571570686415,Cinnamon Teal,Spatula cyanoptera
0.003821232762917428,Red Shoveler,Spatula platalea
0.0029433406916850625,Cape Shoveler,Spatula smithii
0.0021856518385188995,Australasian Shoveler,Spatula rhynchotis
0.0020948860135551447,Northern Shoveler,Spatula clypeata
0.006846747962038363,Gadwall,Mareca strepera
7.506098705197974e-4,Falcated Duck,Mareca falcata
0.006396559092350322,Eurasian Wigeon,Mareca penelope
0.005795836131631968,American Wigeon,Mareca americana
0.012729465362454777,Chiloe Wigeon,Mareca sibilatrix
NA,Amsterdam Duck,Mareca marecula
0.0026155187445510027,African Black Duck,Anas sparsa
